OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
587738948292182099,178.2038984,40.60043825,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=178.203898389&dec=40.6004382482,0.0848643,0.04839617,0.95160389,-20.4750576,-21.83600426,-22.47833061,-22.77788925,-22.9659729,11.06192589,10.04345226,0.82303441,-8.52E-03,42.97002411,4.90E+14,6.42E-01
588017605764775944,206.288866,43.7268515,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=206.28886598&dec=43.7268515036,0.037868,0.08,0.83999997,-19.20679283,-20.07298279,-20.52540207,-20.61758232,-20.79481506,10.00622177,15.10170078,0.57092291,-9.99E-01,31.83574867,2.92E+13,4.52E-01
588018056738308392,250.7702858,29.1595704,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=250.77028575&dec=29.1595703965,0.0736626,0,1,-18.51360512,-20.18520355,-21.01868439,-21.45223427,-21.83732796,10.5749073,10.02621365,0.35413742,1.64E-01,28.15298653,4.46E+13,8.33E-01
587725817499943084,240.0295876,54.03173966,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=240.029587599&dec=54.0317396585,0.0653601,0.14331229,0.81698436,-18.24617958,-19.7984333,-20.53941727,-20.85462761,-21.0631752,10.33400726,4.8530345,0.70075941,3.63E-01,9.5721035,4.56E+13,7.41E-01
587730774410330487,324.159847,11.55875234,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=324.159847006&dec=11.5587523388,0.0374776,0.10693284,0.89306718,-18.5672493,-19.73272324,-20.53342819,-20.9949913,-21.28172684,10.33376312,8.87052345,0.31408644,-6.84E-01,87.53313446,1.85E+14,8.01E-01
587739377769185508,127.9121949,21.56317412,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=127.9121949&dec=21.5631741219,0.0570087,0,1,-19.61959648,-20.67193794,-21.08888435,-21.16791534,-21.19625854,10.0994072,9.62449551,0.83515507,-3.45E-01,39.35392761,3.25E+14,4.17E-01
587738568708849922,197.6159711,14.18952457,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=197.615971138&dec=14.1895245736,0.0809437,0.05135614,0.92599076,-18.90954399,-19.83623886,-20.26341629,-20.46692657,-20.65382767,9.87383652,5.47132111,0.35575151,-4.79E-01,39.81344986,1.17E+14,4.27E-01
588011124119109727,210.8367253,60.30790172,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=210.836725252&dec=60.3079017172,0.0658527,0.01071219,0.95654458,-18.77419472,-19.89778328,-20.32699585,-20.45587921,-20.45881271,9.97016716,9.98593616,0.8766591,-7.76E-01,19.90740013,4.47E+14,4.29E-01
588010879841992914,201.0029673,5.26228382,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=201.002967299&dec=5.26228382355,0.0754291,0.10426332,0.84889823,-17.89554214,-19.76239777,-20.51486969,-20.90079308,-21.13465309,10.33003044,4.59307337,0.42272693,-7.90E-01,26.1063652,3.77E+14,7.52E-01
588017565481894010,166.6204729,11.24310057,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=166.620472899&dec=11.2431005686,0.0804863,0.02759982,0.93724209,-18.39461517,-19.80757332,-20.28415871,-20.40333939,-20.54580688,10.06444359,5.94002104,0.38143593,-3.69E-01,28.6098938,5.49E+14,4.77E-01
587725819092730004,154.7015074,65.57664493,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=154.701507365&dec=65.5766449312,0.0375334,0.02142367,0.9785763,-17.77207184,-19.83988571,-20.29971313,-20.4600544,-20.51566124,10.10249615,12.8007164,0.35053295,-4.72E-01,58.63942719,7.31E+13,4.60E-01
588010135730782363,141.2332819,53.68440751,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=141.233281861&dec=53.6844075069,0.0578518,0.06103927,0.81830978,-19.67572975,-20.72137451,-21.08646393,-21.08955193,-21.01395607,10.15730858,9.48937988,0.64841235,-3.25E-01,20.49179649,1.75E+14,3.65E-01
587738066194858088,122.2430328,54.58578922,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=122.24303283&dec=54.5857892174,0.0825423,0.04381179,0.87572378,-19.77664757,-20.85057449,-21.49781609,-21.8050499,-22.05063057,10.67006493,7.99865055,0.42032272,-3.46E-01,16.91923523,8.17E+13,6.47E-01
587725039561474253,194.770942,-3.14576744,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=194.770942015&dec=-3.14576744308,0.047464,0.02702703,0.97297299,-19.62807083,-21.12501526,-21.71918106,-22.00794411,-22.18697166,10.77128696,13.40769196,0.5868336,-4.13E-01,30.09770393,4.93E+13,5.94E-01
587726879417172040,328.6081931,-7.3671065,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=328.608193114&dec=-7.36710649991,0.0578571,0.02025146,0.94505155,-19.0499649,-20.5386219,-21.0912838,-21.2568512,-21.4562149,10.51451778,11.04362297,0.9429633,1.02E-01,2.54639697,4.57E+14,5.53E-01
587733442120253736,234.1225032,46.55195075,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=234.122503219&dec=46.5519507519,0.0756719,0.0289342,0.97106582,-18.88794136,-20.19783592,-20.80116844,-21.08706856,-21.41761017,10.38450527,5.94096947,0.47794768,-6.65E-01,21.47175217,1.45E+14,6.03E-01
588017978362560608,203.6730784,38.23983725,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=203.673078398&dec=38.2398372472,0.0612851,0.00582134,0.9484542,-19.40435982,-20.59486008,-21.27138138,-21.59998512,-21.80295944,10.57552147,10.49153614,0.46994111,9.82E-01,0.72013819,3.19E+13,6.77E-01
587732482764767404,231.3568851,38.80633014,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=231.356885102&dec=38.8063301412,0.0567539,0,1,-20.14308357,-21.54542542,-22.12168312,-22.29915047,-22.41665459,10.96125698,15.77012253,0.58265656,-7.42E-01,43.15686035,2.83E+14,5.76E-01
587735349629288620,138.9571858,11.39339951,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=138.95718584&dec=11.3933995148,0.0810822,0.03266348,0.91601247,-17.9843502,-19.88389015,-20.50236893,-20.77305603,-21.11863708,10.2759676,5.78016233,0.45333526,-1.10E+00,29.14240456,3.04E+14,6.18E-01
587739294552227965,169.3752291,33.41254262,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=169.375229102&dec=33.4125426203,0.0717288,0.05099651,0.94900346,-18.75835037,-19.89098358,-20.39191246,-20.59642982,-20.69722176,10.02010822,6.54293251,0.4678728,4.30E-02,-999,-9.99E+02,5.01E-01
587733397566456030,230.2549182,44.25299253,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=230.254918199&dec=44.2529925313,0.0764523,0.01403737,0.98596263,-18.18526077,-19.60464096,-20.32769203,-20.68257904,-20.96484756,10.2173605,6.80131435,0.26181448,-1.02E+00,28.54056549,1.45E+14,7.23E-01
588016890634960999,146.0872766,34.41445358,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=146.087276627&dec=34.4144535792,0.0776859,0.18940929,0.81059074,-18.84940147,-20.67437553,-21.40179825,-21.74058533,-22.00703812,10.71074677,6.68856478,0.45907128,7.66E-01,0.87280428,1.47E+13,7.27E-01
587736584965652536,217.7380687,37.38542548,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=217.738068706&dec=37.3854254845,0.034247,0.08280245,0.91719753,-18.85467339,-20.00307083,-20.50549698,-20.75364685,-20.91016388,10.0554657,10.19425297,0.65858394,-2.67E-01,74.29426575,1.31E+14,5.02E-01
587739407873474701,230.9775971,26.54459069,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=230.977597113&dec=26.5445906935,0.0451409,0,0.98461539,-20.08122063,-21.14947701,-21.65703964,-21.90539169,-22.05828667,10.64271927,13.15218067,0.53434622,-2.06E-01,-999,-9.99E+02,5.08E-01
588017702395707522,184.8893337,11.60646652,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=184.889333704&dec=11.6064665235,0.0600096,0.00975079,0.99024922,-18.24389267,-19.49586296,-20.18716621,-20.53409767,-20.83011246,10.10622787,9.55846119,0.27162144,-9.33E-01,10.11696434,6.89E+13,6.91E-01
587731885734560023,121.7249873,34.23163119,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=121.724987276&dec=34.2316311885,0.0553493,0.06987116,0.93012881,-18.66345596,-20.02652359,-20.68267632,-20.97752762,-21.2708149,10.28729057,11.11622715,0.27492622,-1.01E+00,28.20776749,3.25E+14,6.56E-01
587735349096743105,149.0133317,12.78484356,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=149.013331684&dec=12.784843558,0.0790332,0.09840734,0.87046266,-18.94315338,-20.01947784,-20.57243156,-20.82649422,-21.04667854,10.1471014,7.53945255,0.92355835,-3.87E-02,17.27534103,6.40E+13,5.53E-01
587731680116670675,129.1766193,38.70400707,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=129.17661928&dec=38.7040070735,0.0565966,0.02801198,0.97198802,-18.81591988,-20.10589981,-20.76171875,-21.08030701,-21.11569214,10.37558746,10.02916718,0.34914774,6.65E-01,1.01789522,8.10E+13,6.56E-01
587735349107163147,173.3726558,15.214737,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=173.372655783&dec=15.2147369969,0.0694866,0,1,-20.23707581,-21.7040596,-22.39084435,-22.66906166,-22.80552101,11.04998112,12.89699364,0.71704304,2.14E-01,15.42624092,1.85E+14,6.87E-01
587738615951065272,167.6574756,35.42645271,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=167.657475593&dec=35.4264527136,0.0751126,0.15666635,0.84333378,-19.0565567,-20.31642723,-20.81761742,-20.96208954,-21.02907181,10.21878433,9.62623596,0.63162124,-3.56E-01,12.01019478,3.95E+13,5.01E-01
588010877687300168,184.3947193,3.83867662,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=184.394719252&dec=3.838676623,0.0731335,0.05025875,0.88155705,-19.03941345,-20.58098221,-21.37458611,-21.78088188,-22.0682354,10.7127943,10.60507584,0.42261541,9.11E-01,0.63208085,6.63E+14,7.94E-01
587739156583612512,157.9942004,33.45014157,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=157.99420041&dec=33.4501415743,0.0572609,0.02252226,0.95993423,-19.33223724,-20.65990639,-21.31747437,-21.63519859,-21.88056183,10.63539696,9.31114388,0.64124578,-1.10E+00,24.60277939,2.35E+14,6.58E-01
