OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
587736619864162499,245.9169987,24.4741901,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=245.916998663&dec=24.4741900978,0.0386639,1,0,-19.41701698,-21.19288826,-22.3593483,-22.60171318,10.9470253,16.15763474,0.91732198,-3.16E-01,23.75857162,1.08E+14,7.86E-01
588018253228343706,253.2653755,25.21479037,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=253.265375524&dec=25.2147903658,0.0361068,0.94768959,0.02953426,-18.55598259,-20.1544857,-21.17924309,-21.38147545,10.45398331,8.57806778,0.85343385,3.22E-02,4.24800205,8.73E+13,6.93E-01
587725818021806316,170.746896,67.20869714,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=170.746896024&dec=67.2086971371,0.0589447,0.90009594,0.06088436,-17.86732864,-19.48680115,-20.5342598,-20.81373596,10.19957066,5.05806255,0.93405771,5.57E-01,8.18622112,2.75E+13,7.13E-01
587739646740660352,156.0798503,28.60038309,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=156.079850284&dec=28.600383092,0.0818132,0.88679063,0.07935725,-19.6806469,-21.27599716,-22.37485313,-22.66635132,10.98021984,9.85937786,0.80284476,-8.73E-03,-999,-9.99E+02,7.44E-01
588017566025449548,182.1369788,12.26730692,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=182.136978757&dec=12.2673069174,0.0594225,0.83004087,0.16995926,-18.20578003,-19.75787163,-20.83728981,-21.11411095,10.31567955,5.95951414,0.78889591,7.82E-01,14.37778568,6.89E+13,7.37E-01
588017977839845746,238.9188358,25.35029716,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=238.918835788&dec=25.3502971623,0.0428548,0.82692832,0.11372986,-18.51439285,-20.13791656,-21.23576546,-21.44299507,10.49205208,9.39181232,0.87285441,-4.25E-01,16.31830597,3.43E+13,7.39E-01
587729778512953520,202.8748588,-1.65645514,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=202.874858769&dec=-1.65645514493,0.0846884,0.87601137,0.08324379,-19.90722275,-21.88333321,-23.10848808,-23.41239166,11.26640415,9.79618835,0.78094351,8.40E-01,0.39028943,6.64E+14,8.39E-01
587731187261243995,322.5621514,0.68610022,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=322.562151409&dec=0.686100220485,0.050092,0.80087304,0.1991269,-18.10346413,-19.72926903,-20.82782364,-21.08850098,10.33529663,7.42321634,0.74611193,-2.42E-01,43.16469574,4.57E+14,7.46E-01
587729228763824152,243.6594727,52.42295777,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=243.659472665&dec=52.4229577731,0.033463,0.94403356,0.02085537,-18.26948929,-19.94476128,-20.98817253,-21.17092514,10.38326359,8.86716366,0.76564002,-2.51E-01,77.37392426,1.31E+14,6.94E-01
588016841785999585,132.5224015,30.22836976,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=132.522401475&dec=30.228369756,0.0483599,0.96226418,0,-19.19667625,-20.91669464,-22.02547073,-22.26451874,10.81071186,9.52425957,0.86018735,-6.91E-01,16.02698708,3.25E+14,7.50E-01
